Trade,Name,Phone,Email,Post_Date,Source_URL
Landscaping,JUNK REMOVAL HAULING CHEAP TRASH YARD MATTRESS TEXT NOW,3212631660,,2026-02-26T15:23:32-0800,https://seattle.craigslist.org/sno/lbs/d/everett-junk-removal-hauling-cheap/7917824144.html
Landscaping,🚛 SAME-DAY JUNK REMOVAL!  ⏱️ SAVE TIME & 💰 MONEY!,425-321-9497,,2026-03-07T15:19:36-0800,https://seattle.craigslist.org/est/lbs/d/bellevue-same-day-junk-removal-save/7919799840.html
Landscaping,"MOVARO: Junk Removal, Hauling, Moving Help, Pressure Washing",(425) 362-9692,,2026-03-04T19:04:39-0800,https://seattle.craigslist.org/est/lbs/d/kirkland-movaro-junk-removal-hauling/7919166878.html
Handyman,🧱🧱🧱FENCE REPAIR EXTRAORDINAIRE 🌜HANDYMAN🌛,425-443-6291,,2026-03-12T11:54:23-0700,https://seattle.craigslist.org/skc/hss/d/kent-fence-repair-extraordinaire/7920800338.html
Handyman,☎️Handyman Services - Roof Repairs Gutter Cleaning Moss Removal 🏠,(253) 254-5129,,2026-03-12T10:12:31-0700,https://seattle.craigslist.org/skc/hss/d/tacoma-handyman-services-roof-repairs/7920770104.html
Handyman,☎️Handyman Services - Roof Repairs Gutter Cleaning Moss Removal 🏠,971-202-1555,,2026-03-12T10:11:21-0700,https://seattle.craigslist.org/tac/hss/d/tacoma-handyman-services-roof-repairs/7920769747.html
Handyman,HANDYMAN SPECIALS  on all your home needs,253-652-9022,,2026-03-12T08:59:49-0700,https://seattle.craigslist.org/tac/hss/d/tacoma-handyman-specials-on-all-your/7920747234.html
Handyman,Do you need a Reliable handyman to mount your TV?,2067146316,,2026-03-11T22:34:40-0700,https://seattle.craigslist.org/tac/hss/d/puyallup-do-you-need-reliable-handyman/7920686010.html
Handyman,Handyman services,2069817779,,2026-03-11T19:04:42-0700,https://seattle.craigslist.org/see/hss/d/seattle-handyman-services/7920668675.html
Handyman,Evergreen Handyman 👨‍🔧,2532231056,,2026-03-11T12:42:03-0700,https://seattle.craigslist.org/see/hss/d/kent-evergreen-handyman/7920594403.html
Handyman,"Handyman , Deck repair",(206)3356183,,2026-03-10T15:38:32-0700,https://seattle.craigslist.org/tac/hss/d/sumner-handyman-deck-repair/7920419249.html
Handyman,🔧 Reliable Handyman Services – Quality Work at Affordable Rates (Everett &,4254766137,,2026-03-09T17:58:16-0700,https://seattle.craigslist.org/sno/hss/d/bothell-reliable-handyman-services/7920223119.html
Handyman,"Contractor, Home repair, Handyman, Builder, Free Estimates",360 812-2160,,2026-03-10T09:48:24-0700,https://seattle.craigslist.org/est/sks/d/woodinville-contractor-home-repair/7920327567.html
Handyman,Contractor Carpenter Builder Home Repair Handyman Free Estimates,360 812-2160,,2026-03-10T08:04:49-0700,https://seattle.craigslist.org/sno/sks/d/monroe-contractor-carpenter-builder/7920298149.html
Handyman,Contractor Carpenter Builder Home Repair Handyman Free Estimates,360 812-2160,,2026-03-08T09:39:02-0700,https://seattle.craigslist.org/sno/sks/d/snohomish-contractor-carpenter-builder/7919896405.html
Handyman,Tile install and or repairs same day full service Home Repair 911,253-921-5009,,2026-03-08T09:33:48-0700,https://seattle.craigslist.org/oly/sks/d/tumwater-tile-install-and-or-repairs/7919895279.html
Handyman,PNW Affordable Home Repair 911,253-921-5009,,2026-03-05T08:06:40-0800,https://seattle.craigslist.org/oly/sks/d/lacey-pnw-affordable-home-repair-911/7919238116.html
Handyman,✅✅Remodeling - Siding & Windows | We Treat Your Home Like Our Own,206-774-3488,,2026-03-04T14:28:10-0800,https://seattle.craigslist.org/see/sks/d/seahurst-remodeling-siding-windows-we/7919118702.html
Handyman,Contractor Carpenter Builder Home Repair Handyman,360 812-2160,,2026-03-01T11:46:41-0800,https://seattle.craigslist.org/sno/sks/d/bothell-contractor-carpenter-builder/7918410675.html
Handyman,"Home or Business Need Repair/Care? Remodel,Roof Cleaning, and More..",425-753-7380,,2026-02-18T09:44:12-0800,https://seattle.craigslist.org/sno/sks/d/everett-home-or-business-need-repair/7915979407.html
Handyman,Contractor Carpenter Builder Home Repair Handyman,360 812-2160,,2026-02-18T08:03:56-0800,https://seattle.craigslist.org/sno/sks/d/monroe-contractor-carpenter-builder/7915948540.html
Concrete/Masonry,Concrete/Excavation,206-492-9539,,2026-03-11T15:51:23-0700,https://seattle.craigslist.org/est/sks/d/south-prairie-concrete-excavation/7920638389.html
Concrete/Masonry,Foundation • Concrete • Excavation — Precision Craftsmanship,206-492-9539,,2026-03-11T13:08:56-0700,https://seattle.craigslist.org/est/sks/d/south-prairie-foundation-concrete/7920601411.html
Concrete/Masonry,Concrete Free estimates today,425-405-2766,,2026-03-11T07:33:50-0700,https://seattle.craigslist.org/sno/sks/d/bellevue-concrete-free-estimates-today/7920508700.html
Concrete/Masonry,Concrete contractor available now,425-405-2766,,2026-03-11T07:33:24-0700,https://seattle.craigslist.org/est/sks/d/bothell-concrete-contractor-available/7920508596.html
Concrete/Masonry,*****AFFORDABLE CONCRETE CONSTRUCTION*****,(580)279-3690,,2026-03-10T09:34:58-0700,https://seattle.craigslist.org/see/sks/d/seattle-affordable-concrete-construction/7920323492.html
Concrete/Masonry,"✅✅""Concrete  Construction""✅✅",(206)566-2913,,2026-03-10T07:28:48-0700,https://seattle.craigslist.org/see/sks/d/seattle-concrete-construction/7920290487.html
Concrete/Masonry,SUPERIOR CONCRETE AND CONSTRUCTION WORK,253-245-8071,,2026-03-09T18:54:50-0700,https://seattle.craigslist.org/oly/sks/d/superior-concrete-and-construction-work/7920230582.html
Concrete/Masonry,SUPERIOR CONCRETE AND CONSTRUCTION WORK,253-245-8071,,2026-03-09T18:54:04-0700,https://seattle.craigslist.org/oly/sks/d/superior-concrete-and-construction-work/7920230479.html
Concrete/Masonry,SUPERIOR CONCRETE AND CONSTRUCTION WORK,253-245-8071,,2026-03-09T18:53:27-0700,https://seattle.craigslist.org/est/sks/d/superior-concrete-and-construction-work/7920230418.html
Concrete/Masonry,⭐⭐⭐⭐⭐Interior/Exterior Painting Finish Carpenter Flooring Installation,(253)286-9287,,2026-03-12T11:29:30-0700,https://seattle.craigslist.org/skc/hss/d/kent-interior-exterior-painting-finish/7920792531.html
Concrete/Masonry,👷🏰Interior/Exterior House Painting Flooring Installation Carpenter,(253)286-9287,,2026-03-11T11:16:49-0700,https://seattle.craigslist.org/skc/hss/d/seattle-interior-exterior-house/7920570306.html
Concrete/Masonry,"Any type of Masonry, Brick,stone, Stucco, mason,chimney work.",206.376.2755,,2026-03-10T17:00:04-0700,https://seattle.craigslist.org/see/sks/d/seattle-any-type-of-masonry-brickstone/7920433855.html
Concrete/Masonry,"Brick, Block, Stone Mason",253-720-0759,,2026-03-07T18:47:03-0800,https://seattle.craigslist.org/tac/sks/d/graham-brick-block-stone-mason/7919828263.html
Concrete/Masonry,"✅✅Plumber - Electrician - Fix It Fast, No Hassle, No Stress",206-274-8499,,2026-03-12T11:53:07-0700,https://seattle.craigslist.org/see/sks/d/seahurst-plumber-electrician-fix-it/7920800004.html
Concrete/Masonry,✔️ROOF CLEANING ✔️ Pressure washing ✔️ Soft Wash Roof ✔️ Siding,(206)280-1421,,2026-03-12T11:39:58-0700,https://seattle.craigslist.org/see/sks/d/bothell-roof-cleaning-pressure-washing/7920795922.html
Pressure Washing,✔️ROOF CLEANING ✔️ Pressure washing ✔️ Soft Wash Roof ✔️ Siding,(206)280-1421,,2026-03-12T11:39:58-0700,https://seattle.craigslist.org/see/sks/d/bothell-roof-cleaning-pressure-washing/7920795922.html
Pressure Washing,ROOF CLEANING*GUTTER CLEANING*PRESSURE WASHING*SOFT WASH*WINDOW CLEAN,(206) 739-8669,,2026-03-04T10:25:14-0800,https://seattle.craigslist.org/est/sks/d/renton-roof-cleaninggutter/7919051607.html
Pressure Washing,ROOF CLEANING*GUTTER CLEANING*PRESSURE WASHING*SOFT WASH*WINDOW CLEAN,(206) 739-8669,,2026-03-04T10:24:54-0800,https://seattle.craigslist.org/sno/sks/d/bothell-roof-cleaninggutter/7919051502.html
Pressure Washing,SOFT WASH**PRESSURE WASHING**ROOF CLEANING**GUTTER CLEAN**WINDOW CLEAN,(206) 739-8669,,2026-03-04T10:24:31-0800,https://seattle.craigslist.org/see/sks/d/renton-soft-washpressure-washingroof/7919051369.html
Pressure Washing,✅FULL SERVICE LANDSCAPING ✅ POWER WASHING ✅JUNK REMOVAL & HAULING,206-413-0639,,2026-02-23T16:49:57-0800,https://seattle.craigslist.org/tac/hss/d/kent-full-service-landscaping-power/7917163633.html
Pressure Washing,⏩HandyMan Tran ⏩|Free Quotes⏩Soft Washing⏩Hauling⏩Gutter&Roof Cleaning,253-754-9955,,2026-03-06T14:00:48-0800,https://seattle.craigslist.org/tac/hss/d/tacoma-handyman-tran-free-quotessoft/7919567396.html
Pressure Washing,✔️ROOF CLEANING ✔️ Pressure washing ✔️ Soft Wash Roof ✔️ Siding,(206)280-1421,,2026-03-06T12:19:34-0800,https://seattle.craigslist.org/see/hss/d/sammamish-roof-cleaning-pressure/7919541160.html
Pressure Washing,✅Full Service Landscaping ✅Lawn Care✅ Tree Removal✅Stump Grinding,253-754-9955,,2026-03-12T12:29:29-0700,https://seattle.craigslist.org/tac/hss/d/federal-way-full-service-landscaping/7920809613.html
Pressure Washing,☎️Handyman Services - Roof Repairs Gutter Cleaning Moss Removal 🏠,(253) 254-5129,,2026-03-12T10:12:31-0700,https://seattle.craigslist.org/skc/hss/d/tacoma-handyman-services-roof-repairs/7920770104.html
Pressure Washing,☎️Handyman Services - Roof Repairs Gutter Cleaning Moss Removal 🏠,971-202-1555,,2026-03-12T10:11:21-0700,https://seattle.craigslist.org/tac/hss/d/tacoma-handyman-services-roof-repairs/7920769747.html
Pressure Washing,✅✅Roofing - Painting - Handyman - Fix It Once Fix It Right,253-458-9939,,2026-03-10T09:35:19-0700,https://seattle.craigslist.org/tac/sks/d/tacoma-roofing-painting-handyman-fix-it/7920323610.html
Pressure Washing,✅✅Roofing - Painting - Handyman - Stop Waiting Start Fixing,206-462-2211,,2026-03-09T10:27:43-0700,https://seattle.craigslist.org/see/sks/d/seahurst-roofing-painting-handyman-stop/7920116247.html
Pressure Washing,☎️Handyman Services - Roof Repairs Gutter Cleaning Moss Removal 🏠,971-202-1555,,2026-03-12T15:21:07-0700,https://seattle.craigslist.org/tac/sks/d/tacoma-handyman-services-roof-repairs/7920852016.html
Pressure Washing,☎️Handyman Services - Roof Repairs Gutter Cleaning Moss Removal 🏠,(253) 254-5129,,2026-03-12T15:20:45-0700,https://seattle.craigslist.org/skc/sks/d/tacoma-handyman-services-roof-repairs/7920851952.html
Pressure Washing,✔️ROOF CLEANING ✔️ Pressure washing ✔️ Soft Wash Roof ✔️ Siding,(206)280-1421,,2026-03-12T11:39:58-0700,https://seattle.craigslist.org/see/sks/d/bothell-roof-cleaning-pressure-washing/7920795922.html
Pressure Washing,ROOF CLEANING*GUTTER CLEANING*PRESSURE WASHING*SOFT WASH*WINDOW CLEAN,(206) 739-8669,,2026-03-04T10:25:14-0800,https://seattle.craigslist.org/est/sks/d/renton-roof-cleaninggutter/7919051607.html
Pressure Washing,ROOF CLEANING*GUTTER CLEANING*PRESSURE WASHING*SOFT WASH*WINDOW CLEAN,(206) 739-8669,,2026-03-04T10:24:54-0800,https://seattle.craigslist.org/sno/sks/d/bothell-roof-cleaninggutter/7919051502.html
